assembly_accession	sample_name	GenomeID	haplotype	GenHapID
GCA_018470425.2	HG02717_pat	HG02717	Hap1	HG02717_Hap1
GCA_042036525.1	HG02809_pat	HG02809	Hap1	HG02809_Hap1
GCA_042038885.1	HG03017_pat	HG03017	Hap1	HG03017_Hap1
GCA_042037905.1	HG03041_pat	HG03041	Hap1	HG03041_Hap1
GCA_042037925.1	HG03239_pat	HG03239	Hap1	HG03239_Hap1
GCA_018469415.2	HG03516_pat	HG03516	Hap1	HG03516_Hap1
GCA_042036515.1	HG03804_pat	HG03804	Hap1	HG03804_Hap1
GCA_042036505.1	HG03942_pat	HG03942	Hap1	HG03942_Hap1
GCA_042036535.1	HG04157_pat	HG04157	Hap1	HG04157_Hap1
GCA_042036805.1	HG04160_pat	HG04160	Hap1	HG04160_Hap1
GCA_042036795.1	HG04204_pat	HG04204	Hap1	HG04204_Hap1
GCA_042036925.1	HG04228_pat	HG04228	Hap1	HG04228_Hap1
GCA_046116065.1	HG00706_pat	HG00706	Hap1	HG00706_Hap1
GCA_046116025.1	HG03816_pat	HG03816	Hap1	HG03816_Hap1
GCA_042076665.1	HG00423_pat	HG00423	Hap1	HG00423_Hap1
GCA_042076675.1	HG00544_pat	HG00544	Hap1	HG00544_Hap1
GCA_042076525.1	HG01943_pat	HG01943	Hap1	HG01943_Hap1
GCA_042076445.1	HG02735_pat	HG02735	Hap1	HG02735_Hap1
GCA_042076455.1	HG03225_pat	HG03225	Hap1	HG03225_Hap1
GCA_046056445.1	NA19159_pat	NA19159	Hap1	NA19159_Hap1
GCA_042078065.1	HG00126_pat	HG00126	Hap1	HG00126_Hap1
GCA_042078025.1	HG00128_pat	HG00128	Hap1	HG00128_Hap1
GCA_042078005.1	HG00133_pat	HG00133	Hap1	HG00133_Hap1
GCA_042077995.1	HG00146_pat	HG00146	Hap1	HG00146_Hap1
GCA_042077985.1	HG00232_pat	HG00232	Hap1	HG00232_Hap1
GCA_042077965.1	HG00290_pat	HG00290	Hap1	HG00290_Hap1
GCA_042077865.1	HG00320_pat	HG00320	Hap1	HG00320_Hap1
GCA_042077015.1	HG00321_pat	HG00321	Hap1	HG00321_Hap1
GCA_042076995.1	HG01786_pat	HG01786	Hap1	HG01786_Hap1
GCA_042077705.1	HG02178_pat	HG02178	Hap1	HG02178_Hap1
GCA_042076985.1	HG02583_pat	HG02583	Hap1	HG02583_Hap1
GCA_042077695.1	HG03270_pat	HG03270	Hap1	HG03270_Hap1
GCA_042077635.1	HG03583_pat	HG03583	Hap1	HG03583_Hap1
GCA_042076925.1	HG03874_pat	HG03874	Hap1	HG03874_Hap1
GCA_042077605.1	NA18505_pat	NA18505	Hap1	NA18505_Hap1
GCA_042077095.1	NA18508_pat	NA18508	Hap1	NA18508_Hap1
GCA_042077625.1	NA18608_pat	NA18608	Hap1	NA18608_Hap1
GCA_042077615.1	NA18620_pat	NA18620	Hap1	NA18620_Hap1
GCA_042077595.1	NA18952_pat	NA18952	Hap1	NA18952_Hap1
GCA_042077575.1	NA18974_pat	NA18974	Hap1	NA18974_Hap1
GCA_042077505.1	NA18976_pat	NA18976	Hap1	NA18976_Hap1
GCA_042077495.1	NA19036_pat	NA19036	Hap1	NA19036_Hap1
GCA_042076855.1	NA19443_pat	NA19443	Hap1	NA19443_Hap1
GCA_042077085.1	NA19700_pat	NA19700	Hap1	NA19700_Hap1
GCA_042077485.1	NA20870_pat	NA20870	Hap1	NA20870_Hap1
GCA_042077025.1	NA21093_pat	NA21093	Hap1	NA21093_Hap1
GCA_042077005.1	NA21106_pat	NA21106	Hap1	NA21106_Hap1
GCA_042077475.1	NA21110_pat	NA21110	Hap1	NA21110_Hap1
GCA_046043155.1	HG02392_pat	HG02392	Hap1	HG02392_Hap1
GCA_045523115.1	HG02514_pat	HG02514	Hap1	HG02514_Hap1
GCA_045523135.1	HG02841_pat	HG02841	Hap1	HG02841_Hap1
GCA_045524125.1	HG02984_pat	HG02984	Hap1	HG02984_Hap1
GCA_045524245.1	HG03050_pat	HG03050	Hap1	HG03050_Hap1
GCA_045523085.1	NA20799_pat	NA20799	Hap1	NA20799_Hap1
GCA_018504645.2	HG01109_pat	HG01109	Hap1	HG01109_Hap1
GCA_018505855.2	HG02055_pat	HG02055	Hap1	HG02055_Hap1
GCA_018504055.2	HG02080_pat	HG02080	Hap1	HG02080_Hap1
GCA_018505865.2	HG02109_pat	HG02109	Hap1	HG02109_Hap1
GCA_018504075.2	HG02723_pat	HG02723	Hap1	HG02723_Hap1
GCA_018503575.2	HG02818_pat	HG02818	Hap1	HG02818_Hap1
GCA_018506155.2	HG03098_pat	HG03098	Hap1	HG03098_Hap1
GCA_018503245.2	HG03486_pat	HG03486	Hap1	HG03486_Hap1
GCA_018503285.2	NA18906_pat	NA18906	Hap1	NA18906_Hap1
GCA_018504625.2	NA20129_pat	NA20129	Hap1	NA20129_Hap1
GCA_018504665.2	NA21309_pat	NA21309	Hap1	NA21309_Hap1
GCA_018506955.2	HG00733_pat	HG00733	Hap1	HG00733_Hap1
GCA_018504045.2	HG01243_pat	HG01243	Hap1	HG01243_Hap1
GCA_018503265.2	NA19240_pat	NA19240	Hap1	NA19240_Hap1
GCA_018506945.2	HG005_pat	HG005	Hap1	HG005_Hap1
GCA_044165215.1	HG00097_pat	HG00097	Hap1	HG00097_Hap1
GCA_044165645.1	HG00235_pat	HG00235	Hap1	HG00235_Hap1
GCA_044166805.1	HG00253_pat	HG00253	Hap1	HG00253_Hap1
GCA_044166515.1	HG00272_pat	HG00272	Hap1	HG00272_Hap1
GCA_044166575.1	HG00329_pat	HG00329	Hap1	HG00329_Hap1
GCA_044166765.1	HG00344_pat	HG00344	Hap1	HG00344_Hap1
GCA_044167235.1	HG00350_pat	HG00350	Hap1	HG00350_Hap1
GCA_044167135.1	HG01167_pat	HG01167	Hap1	HG01167_Hap1
GCA_044165925.1	HG03369_pat	HG03369	Hap1	HG03369_Hap1
GCA_044166285.1	HG03521_pat	HG03521	Hap1	HG03521_Hap1
GCA_044166095.1	HG03784_pat	HG03784	Hap1	HG03784_Hap1
GCA_044166395.1	NA18565_pat	NA18565	Hap1	NA18565_Hap1
GCA_044165125.1	NA19682_pat	NA19682	Hap1	NA19682_Hap1
GCA_044165085.1	NA19776_pat	NA19776	Hap1	NA19776_Hap1
GCA_044164705.1	NA19835_pat	NA19835	Hap1	NA19835_Hap1
GCA_044164695.1	NA19909_pat	NA19909	Hap1	NA19909_Hap1
GCA_044166585.1	NA20282_pat	NA20282	Hap1	NA20282_Hap1
GCA_044166545.1	NA20346_pat	NA20346	Hap1	NA20346_Hap1
GCA_044166435.1	NA20809_pat	NA20809	Hap1	NA20809_Hap1
GCA_044166535.1	NA20850_pat	NA20850	Hap1	NA20850_Hap1
GCA_044166315.1	NA21102_pat	NA21102	Hap1	NA21102_Hap1
GCA_044164725.1	NA21144_pat	NA21144	Hap1	NA21144_Hap1
GCA_018472715.2	HG00735_pat	HG00735	Hap1	HG00735_Hap1
GCA_043304525.1	HG02155_pat	HG02155	Hap1	HG02155_Hap1
GCA_018469945.2	HG02630_pat	HG02630	Hap1	HG02630_Hap1
GCA_043304645.1	HG03139_pat	HG03139	Hap1	HG03139_Hap1
GCA_043305115.1	HG03470_pat	HG03470	Hap1	HG03470_Hap1
GCA_018472835.2	HG03579_pat	HG03579	Hap1	HG03579_Hap1
GCA_043304975.1	NA20805_pat	NA20805	Hap1	NA20805_Hap1
